Rent,Deposit,Furnishing,Size,Preferred Tenants,Available From,Build Up,Area,Parking
5000.0,15000,Unfurnished,1 RK,All,Ready to Move,150 sqft,banashankari,nop
4500.0,40000,Semi Furnished,1 RK,Bachelor,09-Dec-24,160 sqft,banashankari,nop
9000.0,100000,Semi Furnished,1 BHK,All,01-Jan-25,400 sqft,banashankari,nop
11000.0,100000,Semi Furnished,2 BHK,Family,14-Jan-25,600 sqft,banashankari,nop
7500.0,75000,Semi Furnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
5000.0,50000,Unfurnished,1 BHK,All,Ready to Move,300 sqft,banashankari,nop
5000.0,50004,Semi Furnished,1 BHK,All,Ready to Move,325 sqft,banashankari,nop
6500.0,40000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
15000.0,30000,Fully Furnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
3000.0,20000,Unfurnished,1 RK,Family,Ready to Move,250 sqft,banashankari,nop
20000.0,200000,Unfurnished,2 BHK,Family,Ready to Move,"1,000 sqft",banashankari,nop
3500.0,50000,Unfurnished,1 RK,All,Ready to Move,400 sqft,banashankari,nop
8500.0,80000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,nop
6000.0,30000,Unfurnished,1 BHK,Family,10-Dec-24,500 sqft,banashankari,nop
3000.0,25000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
26000.0,115000,Unfurnished,2 BHK,Family,Ready to Move,"1,200 sqft",banashankari,nop
5500.0,35000,Unfurnished,1 BHK,All,Ready to Move,350 sqft,banashankari,nop
5500.0,40000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
28000.0,300000,Semi Furnished,2 BHK,All,Ready to Move,"1,500 sqft",banashankari,nop
30000.0,300000,Semi Furnished,3 BHK,Family,Ready to Move,800 sqft,banashankari,nop
14000.0,100000,Semi Furnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
10000.0,100000,Unfurnished,2 BHK,Family,Ready to Move,500 sqft,banashankari,nop
4500.0,40000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
14000.0,130000,Semi Furnished,1 BHK,Family,Ready to Move,800 sqft,banashankari,nop
4500.0,30000,Unfurnished,1 BHK,All,Ready to Move,400 sqft,banashankari,nop
10000.0,100000,Unfurnished,2 BHK,All,15-Dec-24,600 sqft,banashankari,nop
10000.0,100000,Unfurnished,2 BHK,Family,05-Dec-24,"1,000 sqft",banashankari,nop
8000.0,60000,Semi Furnished,1 BHK,All,Ready to Move,600 sqft,banashankari,nop
12000.0,100000,Semi Furnished,2 BHK,Family,Ready to Move,702 sqft,banashankari,nop
11000.0,30000,Semi Furnished,1 RK,Bachelor,Ready to Move,300 sqft,banashankari,nop
3500.0,20000,Semi Furnished,1 RK,Bachelor,Ready to Move,250 sqft,banashankari,nop
6500.0,40000,Unfurnished,1 RK,Bachelor,Ready to Move,300 sqft,banashankari,nop
8000.0,60000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
5500.0,50000,Unfurnished,1 RK,All,Ready to Move,120 sqft,banashankari,nop
8000.0,50000,Unfurnished,2 BHK,Family,Ready to Move,600 sqft,banashankari,nop
3500.0,20000,Unfurnished,1 RK,All,30-Nov-24,250 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 BHK,Family,01-Jan-25,400 sqft,banashankari,nop
6000.0,60000,Unfurnished,1 RK,Family,Ready to Move,300 sqft,banashankari,nop
